Test. Epoch 1. Iter 109/168.0, IoU = 0.65
Test. Epoch 1. Iter 110/168.0, IoU = 0.65
Test. Epoch 1. Iter 111/168.0, IoU = 0.65
Test. Epoch 1. Iter 112/168.0, IoU = 0.65
Test. Epoch 1. Iter 113/168.0, IoU = 0.65
Test. Epoch 1. Iter 114/168.0, IoU = 0.65
Test. Epoch 1. Iter 115/168.0, IoU = 0.65
Test. Epoch 1. Iter 116/168.0, IoU = 0.65
Test. Epoch 1. Iter 117/168.0, IoU = 0.65
Test. Epoch 1. Iter 118/168.0, IoU = 0.65
Test. Epoch 1. Iter 119/168.0, IoU = 0.65
Test. Epoch 1. Iter 120/168.0, IoU = 0.65
Test. Epoch 1. Iter 121/168.0, IoU = 0.65
Test. Epoch 1. Iter 122/168.0, IoU = 0.65
Test. Epoch 1. Iter 123/168.0, IoU = 0.66
Test. Epoch 1. Iter 124/168.0, IoU = 0.66
Test. Epoch 1. Iter 125/168.0, IoU = 0.66
Test. Epoch 1. Iter 126/168.0, IoU = 0.66
Test. Epoch 1. Iter 127/168.0, IoU = 0.66
Test. Epoch 1. Iter 128/168.0, IoU = 0.66
Test. Epoch 1. Iter 129/168.0, IoU = 0.66
Test. Epoch 1. Iter 130/168.0, IoU = 0.66
Test. Epoch 1. Iter 131/168.0, IoU = 0.66
Test. Epoch 1. Iter 132/168.0, IoU = 0.66
Test. Epoch 1. Iter 133/168.0, IoU = 0.66
Test. Epoch 1. Iter 134/168.0, IoU = 0.66
Test. Epoch 1. Iter 135/168.0, IoU = 0.66
Test. Epoch 1. Iter 136/168.0, IoU = 0.66
Test. Epoch 1. Iter 137/168.0, IoU = 0.66
Test. Epoch 1. Iter 138/168.0, IoU = 0.66
Test. Epoch 1. Iter 139/168.0, IoU = 0.66
Test. Epoch 1. Iter 140/168.0, IoU = 0.66
Test. Epoch 1. Iter 141/168.0, IoU = 0.66
Test. Epoch 1. Iter 142/168.0, IoU = 0.66
Test. Epoch 1. Iter 143/168.0, IoU = 0.66
Test. Epoch 1. Iter 144/168.0, IoU = 0.66
Test. Epoch 1. Iter 145/168.0, IoU = 0.66
Test. Epoch 1. Iter 146/168.0, IoU = 0.66
Test. Epoch 1. Iter 147/168.0, IoU = 0.66
Test. Epoch 1. Iter 148/168.0, IoU = 0.66
Test. Epoch 1. Iter 149/168.0, IoU = 0.66
Test. Epoch 1. Iter 150/168.0, IoU = 0.66
Test. Epoch 1. Iter 151/168.0, IoU = 0.66
Test. Epoch 1. Iter 152/168.0, IoU = 0.66
Test. Epoch 1. Iter 153/168.0, IoU = 0.66
Test. Epoch 1. Iter 154/168.0, IoU = 0.66
Test. Epoch 1. Iter 155/168.0, IoU = 0.66
Test. Epoch 1. Iter 156/168.0, IoU = 0.67
Test. Epoch 1. Iter 157/168.0, IoU = 0.67
Test. Epoch 1. Iter 158/168.0, IoU = 0.67
Test. Epoch 1. Iter 159/168.0, IoU = 0.67
Test. Epoch 1. Iter 160/168.0, IoU = 0.67
Test. Epoch 1. Iter 161/168.0, IoU = 0.67
Test. Epoch 1. Iter 162/168.0, IoU = 0.67
Test. Epoch 1. Iter 163/168.0, IoU = 0.67
Test. Epoch 1. Iter 164/168.0, IoU = 0.67
Test. Epoch 1. Iter 165/168.0, IoU = 0.67
Test. Epoch 1. Iter 166/168.0, IoU = 0.67
Test. Epoch 1. Iter 167/168.0, IoU = 0.67
Test. Epoch 1. Iter 168/168.0, IoU = 0.67
Test. Epoch 2. Iter 1/168.0, IoU = 0.85
Test. Epoch 2. Iter 2/168.0, IoU = 0.85
Test. Epoch 2. Iter 3/168.0, IoU = 0.84
Test. Epoch 2. Iter 4/168.0, IoU = 0.83
Test. Epoch 2. Iter 5/168.0, IoU = 0.83
Test. Epoch 2. Iter 6/168.0, IoU = 0.82
Test. Epoch 2. Iter 7/168.0, IoU = 0.82
Test. Epoch 2. Iter 8/168.0, IoU = 0.82
Test. Epoch 2. Iter 9/168.0, IoU = 0.82
Test. Epoch 2. Iter 10/168.0, IoU = 0.82
